path,col0,col1
C:/Users/User/Desktop/uni selection/scraped_data/Aliah University/url5.csv,Courses,Download Syllabus
C:/Users/User/Desktop/uni selection/scraped_data/Bankura University/url0.csv,Subject,Syllabus
C:/Users/User/Desktop/uni selection/scraped_data/Bankura University/url2.csv,Course,Syllabus
C:/Users/User/Desktop/uni selection/scraped_data/Bidhan Chandra Krishi Viswavidyalaya/url9.csv,Courses,Syllabus
C:/Users/User/Desktop/uni selection/scraped_data/University of Burdwan/url7.csv,Courses,Syllabus
C:/Users/User/Desktop/uni selection/scraped_data/Cooch Behar Panchanan Barma University/url3.csv,Course,Syllabus
C:/Users/User/Desktop/uni selection/scraped_data/Cooch Behar Panchanan Barma University/url4.csv,Course,Syllabus
C:/Users/User/Desktop/uni selection/scraped_data/Cooch Behar Panchanan Barma University/url5.csv,Course,Syllabus
C:/Users/User/Desktop/uni selection/scraped_data/West Bengal University of Animal and Fishery Sciences/url0.csv,Syllabus,Download
C:/Users/User/Desktop/uni selection/scraped_data/West Bengal University of Animal and Fishery Sciences/url1.csv,Syllabus,Download
C:/Users/User/Desktop/uni selection/scraped_data/West Bengal University of Animal and Fishery Sciences/url2.csv,Syllabus,Download
C:/Users/User/Desktop/uni selection/scraped_data/West Bengal University of Animal and Fishery Sciences/url3.csv,Syllabus,Download
