M.Phil. in Economics◉ M.Phil. in Economics (2017-18)◉ M.Phil. in Economics,M.Phil. in Library and Information Science◉ M.Phil. in Library and Information Science (2017-18)◉ M.Phil. in Library and Information Science
M.Phil. in Sanskrit◉ M.Phil. in Sanskrit,M.Phil. in Political Science◉ M.Phil. in Political Science
M.Phil. in Philosophy (Not Available),M.Phil. in History (Not Available)
M.Phil. in English (Not Available),M.Phil. in Hindi◉ M.Phil. in Hindi
M.Phil. in Bengali◉ M.Phil. in Bengali,M.Phil. in Commerce◉ M.Phil. in Commerce (2017-18)◉ M.Phil. in Commerce
Master of Business Administration (Tourism)◉ Master of Business Administration (Tourism),M.A. in Urdu◉ M.A. in Urdu
Master of Business Administration (Human Resource)◉ Master of Business Administration (Human Resource),Master of Business Administration◉ Master of Business Administration (2014-15)◉ Master of Business Administration
Master in Education◉ Master in Education,M.A. in Arabic◉ M.A. in Arabic (2018-19)◉ M.A. in Arabic (2017-18)
MBA (Fin./ Marketing / HR / Systems & Operations / IR / Media Management) (Not Available),M.A. in Philosophy◉ M.A. in Philosophy
Master of Commerce◉ Master of Commerce,Master of Law◉ Master of Law (2018-19)◉ Master of Law
Master of Library and Information Science◉ Master of Library and Information Science,Master in Physical Education (Not Available)
M.A. in Education◉ M.A. in Education,M.A. in French (Not Available)
M.A. in Rabindra Sangeet (Not Available),M.A. in Women‘s Studies (Not Available)
M.A. in Hindustani Classical Vocal Music (Not Available),M.A. in Santali (Not Available)
M.A. in Bengali◉ M.A. in Bengali,M.A. in Economics◉ M.A. in Economics
M.A. in English◉ M.A. in English,M.A. in Hindi◉ M.A. in Hindi (2019-21)◉ M.A. in Hindi (2015-16)◉ M.A. in Hindi
M.A. in History◉ M.A. in History,M.A. in Mass Communication◉ M.A. in Mass Communication
M.A. in Political Science◉ M.A. in Political Science,M.A. in Sanskrit◉ M.A. in Sanskrit
M.A. in Sociology◉ M.A. in Sociology (2015-16)◉ M.A. in Sociology,Advance Diploma in French (Not Available)
Advance Diploma in Russian (Not Available),Advance Diploma in German (Not Available)
Diploma in Russian (Not Available),Diploma in German (Not Available)
Diploma in French (Not Available),Certificate in Russian (Not Available)
Certificate in German (Not Available),Certificate in French (Not Available)
