Courses,Duration
B.A.,3 years
B.Sc,3 years
B.Com.,3 years
B.J.M.,3 years
M.A.,2 years
"M.Sc (Botany, Chemistry, Environmental Science, Mathematics, Microbiology, Physics, Physiology, Statistics, Zoology)",2 years
Master of Science in Biochemistry,2 years
M.Sc. Biophysics,2 years
Master of Science in Molecular Biology & Biotechnology,2 years
M.Sc Geography,2 years
Master of Science in Environmental Management,2 years
"M.A. in Bengali, English, Hindi, History, Sanskrit, Political Science, Philosophy, Economics, Sociology",2 years
M.Com.,2 years
M.A. Folklore,2 years
Master of Library and Information Science (MLISc),1 year
M.F.A.,Depends on University Rules & regulation
M.A. /M.Sc. Education,2 years
M.Tech (CSE),2 years
M.Tech. in Environmental Management,2 years
MRDM,2 years
M.C.A.,3 years
M.B.A,2 years
DHHM,1 year
M.Ed.,2 years
B.P.Ed,Depends on University Rules & regulation
M.P.Ed,2 years
Diploma in Adult Education,1 year
M.Phil. Programs,2 years
D.Sc/D.LITT,Depends on University Rules & regulation
